Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Aanbieding (product.metafields.custom.aanbieding),Aantal Spelers (product.metafields.custom.aantal_spelers),Aantal speler 2 (product.metafields.custom.aantal_speler_2),Aantal Stukjes (product.metafields.custom.aantal_stukjes),Activiteit (product.metafields.custom.activiteit),Demospel (product.metafields.custom.demospel),Inhoud doos (product.metafields.custom.inhoud_doos),Leeftijd (product.metafields.custom.leeftijd),Moeilijkheidsgraad (product.metafields.custom.moeilijkheidsgraad),Soort Product (product.metafields.custom.soort_product),Type Spel (product.metafields.custom.soort_spel),Spelduur (product.metafields.custom.spelduur),Spelmechanisme (product.metafields.custom.spelmechanisme),Taal (product.metafields.custom.taal),Thema (product.metafields.custom.thema),Type Accessoires (product.metafields.custom.type_accessoires),Uitgever (product.metafields.custom.uitgever),Weetjes (product.metafields.custom.weetjes),Wereld (product.metafields.custom.wereld),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Aantal productbeoordelingen (product.metafields.reviews.rating_count),Leeftijdsgroep (product.metafields.shopify.age-group),Leeftijdsbeperkingen (product.metafields.shopify.age-restrictions),Kenmerken spelbord (product.metafields.shopify.board-game-features),Bordspelmechanismen (product.metafields.shopify.board-game-mechanics),Type bouwspeelgoed (product.metafields.shopify.building-toy-type),Kleur (product.metafields.shopify.color-pattern),Behendigheidsvaardigheden (product.metafields.shopify.dexterity-skills),Dobbelsteenvorm (product.metafields.shopify.dice-shape),Materiaal versiering/rand (product.metafields.shopify.embellishment-trim-material),Evenementtype (product.metafields.shopify.event-type),Moeilijkheidsgraad spel (product.metafields.shopify.game-difficulty),Gameplay-vaardigheden (product.metafields.shopify.gameplay-skills),Puzzelthema (product.metafields.shopify.puzzle-theme),Type puzzel (product.metafields.shopify.puzzle-type),Aanbevolen leeftijdsgroep (product.metafields.shopify.recommended-age-group),Thema (product.metafields.shopify.theme),Materiaal speelgoed/spel (product.metafields.shopify.toy-game-material),Aanvullende producten (product.metafields.shopify--discovery--product_recommendation.complementary_products),Gerelateerde producten (product.metafields.shopify--discovery--product_recommendation.related_products),Gerelateerde productinstellingen (product.metafields.shopify--discovery--product_recommendation.related_products_display),Productboosts zoeken (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Nederland,Price / Nederland,Compare At Price / Nederland,Included / Belgie,Price / Belgie,Compare At Price / Belgie,Included / Internationaal,Price / Internationaal,Compare At Price / Internationaal,Status
claim-kingdoms,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/products/pic4303134.jpg?v=1681547303,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim-kingdoms,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/products/pic4303103.jpg?v=1681547303,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim-reinforcements-fear,Claim Reinforcements: Fear,"<div class=""view"">
<p>In de strijd om de macht liggen de duistere wezens uit de schaduwlanden op de loer. Vampiers, Zombies, Weerwolven en Schaduwen verspreiden zich over het rijk op zoek naar nieuwe<br></p>
<p>slachtoffers en vers bloed. In de strijd om de troon heb je niet de luxe om je bondgenoten te kiezen. Je eigen toekomst is nu het belangrijkst!</p>
<p><span>Laat Harry snel weten wie van jullie de nieuwe koning wordt!</span></p>
<p> </p>
<p><br></p>
</div>",White Goblin Games,,Gezelschapsspel,"2 personen, Competitie, Duelleren, Fantasy, Kaartspel, Leeftijd 10+, Macht, Makkelijk, Makkelijk te leren, Nederlands, Slagenspel, Uitbreiding, Vlot, White Goblin Games, Winter, ±25 minuten",,Title,Default Title,,,,,,,,,130,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/products/Claim_Fear_3D.jpg?v=1668424431,1,,,,,,,,,,,,,,,,,Duel ,2 spelers,,"Competitie
Duelleren",,,10+,Makkelijk,,"Kaartspel
Uitbreiding",±25 minuten,Slagenspel,Nederlands,"Fantasy
Macht",,White Goblin Games,"'- Dit is een uitbreiding. Je hebt Claim of Claim 2 nodig om te kunnen spelen.
- Heel leuk en vlot slagenspel met een twist. De keuzes uit je eerste fase hebben duidelijk gevolgen voor de tweede fase
- Dankzij de vele uitbreidingen raak je niet snel uitgekeken en is de herspeelbaarheid enorm
- Makkelijk te leren",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
claim-reinforcements-fire,Claim Reinforcements: Fire,"<div class=""view"">
<p><span>Vanaf de diepste en donkerste plekken proberen de Fire Elementaire een weg naar het rijk te vinden. Onderweg komen ze Demonen, Bedriegers en Gifmengers met krachtige verrassingen tegen. In het rijk zal de paniek toenemen en uiteindelijk zal de glorie van vuur zich over de hele wereld verspreiden. Niemand in het rijk zal nog veilig zijn!</span></p>
<p><span>Laat Harry snel weten wie van jullie de nieuwe koning wordt!</span></p>
<p> </p>
<p><br></p>
</div>",White Goblin Games,,Gezelschapsspel,"2 personen, Competitie, Duelleren, Fantasy, Kaartspel, Leeftijd 10+, Macht, Makkelijk, Makkelijk te leren, Nederlands, Slagenspel, Uitbreiding, Vlot, Vuur, White Goblin Games, Winter, ±25 minuten",,Title,Default Title,,,,,,,,,130,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/products/Claim_Fire_3D.jpg?v=1666962407,1,,,,,,,,,,,,,,,,,Duel ,2 spelers,,"Competitie
Duelleren",,,10+,Makkelijk,,"Kaartspel
Uitbreiding",±25 minuten,Slagenspel,Nederlands,"Fantasy
Macht",,White Goblin Games,"'- Dit is een uitbreiding. Je hebt Claim of Claim 2 nodig om te kunnen spelen.
- Met de Claim-uitbreiding Fire wordt alles anders en moeilijker.
- Heel leuk en vlot slagenspel met een twist. De keuzes uit je eerste fase hebben duidelijk gevolgen voor de tweede fase
- Dankzij de vele uitbreidingen raak je niet snel uitgekeken en is de herspeelbaarheid enorm
- Makkelijk te leren",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
claim-reinforcements-frost,Claim Reinforcements: Frost,"<div class=""view"">
<p><span>Op het moment van de ontdekking van de ijslanden kon niemand zich voorstellen welk kwaad uit dit ijzige land is ontstaan. De ijspoorten zijn geopend en de krijgers van de sneeuw zwerven door het koninkrijk. De ontdekkers van de ijslanden hebben meer gezien dan dat hun lief is. Er zal geen schuilplaats, geen vreugde en geen genade zijn. De Vorstmonsters, Yeti's, Ijskoningen en Ijskoninginnen zijn op weg. Lukt het jou om de ijzige nacht door te komen?</span></p>
<p><br></p>
</div>",White Goblin Games,,Gezelschapsspel,"2 personen, Competitie, Duelleren, Fantasy, Kaartspel, Leeftijd 10+, Macht, Makkelijk, Makkelijk te leren, Nederlands, Slagenspel, Uitbreiding, Vlot, White Goblin Games, Winter, ±25 minuten",,Title,Default Title,,,,,,,,,130,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/products/Claim_Frost_3D.jpg?v=1666961843,1,,,,,,,,,,,,,,,,,Duel ,2 spelers,,"Competitie
Duelleren",,,10+,Makkelijk,,"Kaartspel
Uitbreiding",±25 minuten,Slagenspel,Nederlands,"Fantasy
Macht",,White Goblin Games,"'- Dit is een uitbreiding. Je hebt Claim of Claim 2 nodig om te kunnen spelen.
- Heel leuk en vlot slagenspel met een twist. De keuzes uit je eerste fase hebben duidelijk gevolgen voor de tweede fase
- Dankzij de vele uitbreidingen raak je niet snel uitgekeken en is de herspeelbaarheid enorm
- De kaarten zijn voorzien van een FOIL afwerking.
- Makkelijk te leren",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
claim-reinforcements-magic,Claim Reinforcements: Magic,"<div class=""view"">
<p>Steeds meer facties bemoeien zich met de troonsopvolging. Tovenaars, Druïden en zelfs Gedaanteverwisselaars mengen zich in de strijd. De facties kunnen vanaf nu ook gebruik maken van machtige oude artefacten.</p>
<p><span>Laat Harry snel weten wie van jullie de nieuwe koning wordt!</span></p>
<p> </p>
<p><br></p>
</div>",White Goblin Games,,Gezelschapsspel,"2 personen, Competitie, Duelleren, Engels, Fantasy, Kaartspel, Leeftijd 10+, Macht, Makkelijk, Makkelijk te leren, Nederlands, Slagenspel, Uitbreiding, Vlot, White Goblin Games, ±25 minuten",,Title,Default Title,,,,,,,,,130,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/products/R1_RGB.jpg?v=1666961442,1,,,,,,,,,,,,,,,,,Duel ,2 spelers,,"Competitie
Duelleren",,,10+,Makkelijk,,"Kaartspel
Uitbreiding",±25 minuten,Slagenspel,"Nederlands
Engels","Fantasy
Macht",,White Goblin Games,"'- Dit is een uitbreiding. Je hebt Claim of Claim 2 nodig om te kunnen spelen.
- Heel leuk en vlot slagenspel met een twist. De keuzes uit je eerste fase hebben duidelijk gevolgen voor de tweede fase
- Dankzij de vele uitbreidingen raak je niet snel uitgekeken en is de herspeelbaarheid enorm
- Voegt de ""magie"" toe in Claim
- Makkelijk te leren",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
claim-reinforcements-maps,Claim Reinforcements: Maps,"<p>Het koninkrijk beleefd niet zijn beste periode. Er is nog steeds geen troonopvolger en overal wordt gestreden om de macht. Magische locaties spelen een belangrijke rol vanaf nu. Zorg dat je Basilisken en Eenhoorns voor je wint maar pas op voor de Feniksen die voor iedereen zowel indrukwekkend als gevaarlijk zijn.</p>
<p><strong>Let op! Dit is een uitbreiding. Je hebt CLAIM of CLAIM2 nodig om te kunnen spelen.</strong></p>",White Goblin Games,,Gezelschapsspel,"Duelleren, Fantasy, Kaartspel, Slagenspel, Uitbreiding",,Title,Default Title,,,,,,,,,0,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/R3_RGB1_1.jpg?v=1684066754,1,,,,,,,,,,,,,,,,,2 spelers,2 spelers,,Duelleren,,,10+,Makkelijk,,"Kaartspel
Uitbreiding",±25 minuten,Slagenspel,Nederlands,Fantasy,,White Goblin Games,"'- Uitbreiding op het populaire slagenspel ""Claim""
- Voegt locaties toe",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
claim-reinforcements-mercenaries,Claim Reinforcements: Mercenaries,"<p>Bij afwezigheid van permanente legers van de koning, vertrouwt iedereen op huurlingen in de gevechten voor de troon. Maar zijn de helden nuttig voor je plannen? En hoe zit het met de intenties van de Cyclopen, de Elfen en de Ork facties? Chaotische tijden liggen in het verschiet.</p>
<p><strong>Let op! Dit is een uitbreiding. Je hebt CLAIM of CLAIM2 nodig om te kunnen spelen.</strong></p>",White Goblin Games,,Gezelschapsspel,"duel, Duelleren, Fantasy, Kaartspel, Slagenspel, Uitbreiding",,Title,Default Title,,,,,,,,,0,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/R2_RGB_1_1.jpg?v=1684070251,1,,,,,,,,,,,,,,,,,2 spelers,2 spelers,,Duelleren,,,10+,Makkelijk,,"Kaartspel
Uitbreiding",±25 minuten,Slagenspel,Nederlands,Fantasy,,White Goblin Games,"'- Uitbreiding van populaire slagenspel ""Claim""
- Speel met jouw favoriete fantasy figuur",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
claim-reinforcements-sea,Claim Reinforcements: Sea,"<p>De zee maakt een verbinding tussen de landen van het Rijk en is belangrijk voor het koninkrijk als handelsroute en als voedselbron. Het koninkrijk zou nergens zijn zonder de nuttige bijdrage uit de diepten van de zee. Ondergewaardeerd, boos en met nieuwe krachten zijn de facties uit de zee klaar voor de strijd.</p>
<p><strong>Let op: dit is een uitbreiding. Je hebt CLAIM of CLAIM 2 nodig om te kunnen spelen.</strong></p>
<p> </p>",White Goblin Games,,Gezelschapsspel,"Duelleren, Fantasy, Kaartspel, Onderwaterwereld, Slagenspel, Uitbreiding",,Title,Default Title,,,,,,,,,0,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/3D_Sea_RGB_1.jpg?v=1684067293,1,,,,,,,,,,,,,,,,,2 spelers,2 spelers,,Duelleren,,,10+,Makkelijk,,"Kaartspel
Uitbreiding",±25 minuten,Slagenspel,Nederlands,"Fantasy
Onderwaterwereld",,White Goblin Games,"'-Uitbreiding op het populaire slagenspel ""Claim""
- Vecht met zeedieren tegen andere!",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
claim-reinforcements-sky,Claim Reinforcements: Sky,"<p>Met alle levende wezens zwevend in het universum kan een kleine verandering de wereld op zijn kop zetten. Alle andere facties worden als bedreiging gezien. De luchtwezens vliegen zo snel als de wind, hebben uiterst zeldzame krachten en zijn het sterkste als ze alleen handelen. Zijn jullie klaar voor deze nieuwe fase in de strijd?</p>
<p><strong>Let op!: Dit is een uitbreiding. Je hebt CLAIM of CLAIM 2 nodig om te kunnen spelen.</strong></p>",White Goblin Games,,Gezelschapsspel,"duel, Duelleren, Fantasy, Kaartspel, Slagenspel, Uitbreiding",,Title,Default Title,,,,,,,,,0,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/3D_Sky_RGB_1.jpg?v=1684068203,1,,,,,,,,,,,,,,,,,2 spelers,2 spelers,,Duelleren,,,10+,Makkelijk,,"Kaartspel
Uitbreiding",±25 minuten,Slagenspel,Nederlands,Fantasy,,White Goblin Games,"'- Uitbreiding op het populaire slagenspel ""Claim""
- Facties die liever solo gaan",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
claim-reinforcements-sun,Claim Reinforcements: Sun,"<p>Het enorme effect van de zon op het rijk wordt sinds het begin der tijden erkend. De zin is verreweg de belangrijkste energiebron van leven. De zonaanbidders in het koninkrijk zijn in het verleden altijd neutraal gebleven. Tot nu toe. De facties zijn heroïsch, sterk en meedogenloos. Met het zonlicht in hun rugzijn ze niet te stoppen.</p>
<p><strong>Let op: Dit is een uitbreiding. Je hebt CLAIM of CLAIM 2 nodig om te kunnen spelen.</strong></p>",White Goblin Games,,Gezelschapsspel,"duel, Duelleren, Fantasy, Kaartspel, Slagenspel, Uitbreiding",,Title,Default Title,,,,,,,,,0,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/3D_Sun_RGB_1.jpg?v=1684067766,1,,,,,,,,,,,,,,,,,2 spelers,2 spelers,,Duelleren,,,10+,Makkelijk,,"Kaartspel
Uitbreiding",±25 minuten,Slagenspel,Nederlands,Fantasy,,White Goblin Games,"'- Uitbreiding op het populaire slagenspel ""Claim""
- Vergeet de zonnebrand niet!",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
claim-storage-box,Claim Storage Box,"<p>Het koninkrijk is nu groter dan het ooit is geweest. Met meer dan 40 facties wordt het bemachtigen van de stemmen van de verschillende facties steeds moeilijker. Kies je facties verstandig en gebruik hun krachten om de troon te claimen.</p>
<p>In deze box kun je jouw volledige claimcollectie verzamelen! Met meer dan 60 compartimenten is er genoeg ruimte om alle facties te organiseren en je houdt ook nog ruimte over voor toekomstige facties. De kaarten passen met en zonder sleeves. Maak je Claim-serie compleet, door ze te verzamelen in deze geweldige box en ontvang 2 extra limited edition promo facties: Ontwakers en Satyrs. Bovendien is de allereerste scenariokaart opgenomen om je van nog meer speelplezier te voorzien.</p>",White Goblin Games,,Gezelschapsspel,Opbergen,,Title,Default Title,,,,,,,,,0,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/Claim_storage_3D_1.jpg?v=1685641768,1,,,,,,,,,,,,,,,,,"Duel 
2 spelers",2 spelers,,"Competitie
Duelleren",,,10+,Makkelijk,,Uitbreiding,±25 minuten,Slagenspel,"Engels
Nederlands
Spaans","Fantasy
Middeleeuwen",,White Goblin Games,"'- Ben je fan van Claim? Dan is deze storage box een musthave!
- Ook nu weer met de prachtige bekende artwork!",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
clank,Clank!,"<p><span data-mce-fragment=""1"">Er zijn eeuwenoude schatten gevonden in een drakenhol en Harry was er bij! Je bent maar al te blij dat Harry zijn avontuur kan navertellen, want er zijn nog meer schatten te vinden en die wil je natuurlijk maar al te graag eigen maken...</span></p>
<p><span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Clank is een deckbuilding game dat zich afspeelt in dit drakenhol. Hoe verder je het drakenhol ingaat, hoe waardevoller de eeuwenoude schat zal zijn. Maar Harry waarschuwt je vooraf: maak je teveel geluid of zet je een verkeerde stap, dan maak je de draak wakker en zal je opnieuw moeten beginnen! </span></p>
<p><span data-mce-fragment=""1"">Kom je levend uit het drakenhol, dan mag je de eeuwenoude schatten houden. Ga jij de uitdaging aan om snel &amp; stil te handelen?</span></p>",Asmodee,,Gezelschapsspel,"2 personen, 3 personen, 4 personen, Bordspel, Deckbuilding, demo, Draak, Dragons, Draken, Dungeons & Dragons, Engels, Expeditie, Fantasy, Gemiddeld, Kaarten, Kaartspel, Leeftijd 13+, Overleven, Player elimination, Push Your Luck, Renegade, Spelbord, Verzamelen, ± 60 minuten",,Title,Default Title,,,,,,,,,1000,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/products/Cover2_18223f8f-7722-485a-98ce-9249be30a1b9.jpg?v=1658310581,1,,,,,,,,,,,,,,,,,"2 spelers
3 spelers
4 spelers",2 tot 4 spelers,,"Overleven
Verzamelen",,,13+,Expert,,Bordspel,±60 minuten,"Deckbuilding
Player elimination
Push your luck",Engels,"Dungeons & Dragons
Expeditie
Fantasy",,Renegade,"'- Spannende deckbuilding. Je voelt de draak dichterbij komen
- Heerlijk Dungeons & Dragons thema
- Toegankelijk om het deckbuilding mechanisme te leren kennen",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
clank,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/products/inhoud_57eb6c77-62f5-4762-8df9-0a3b24ca6824.jpg?v=1658310581,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clank,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/products/bord.jpg?v=1658310581,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clank,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/products/Kaarten_e761d743-e9da-4074-b515-c6bf6a507ccb.jpg?v=1658310581,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clank,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/products/draak.jpg?v=1658310581,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clank,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/products/Cover_830c49a4-7c68-43b0-b4e3-06fe47200d0c.jpg?v=1658310581,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clank-acquisition-incorporated,Clank! Acquisition Incorporated,"<p>Clank! Legacy: Acquisitions Incorporated breidt het deck-building plezier van Clank! uit met legacy-stijl gameplay! Leid je beginnende schatzoekers naar onsterfelijke zakelijke glorie gedurende meerdere spellen. Je spelbord, je deck en je wereld veranderen naarmate je speelt, om een unieke campagne te creëren die is afgestemd op je avontuurlijke gezelschap. Wees sluw, wees moedig, en het belangrijkste, wees klaar...</p>
<p>Stuur je helden op epische quests en zorg ervoor dat je naam overal wordt gegraveerd. Maar pas op, want de gevaren liggen overal op de loer. Terwijl je schatten verzamelt, zullen de Clank!-kaarten je achtervolgen en de draak opwekken. Hoe meer lawaai je maakt, hoe gevaarlijker het wordt. Durf je dieper in de kerkers af te dalen voor waardevollere schatten, of keer je op tijd terug om aan de dreigende dreiging te ontsnappen?</p>
<p>Clank! Legacy: Acquisitions Incorporated biedt een meeslepende en evoluerende spelervaring die je samen met vrienden en familie kunt beleven. Jouw keuzes en acties beïnvloeden het verloop van het spel en creëren een unieke campagne die alleen van jou is.</p>
<p>Ben je klaar om je avontuurlijke geest te ontketenen en de wereld van Acquisitions Incorporated te betreden? Neem de uitdaging aan en stap in de schoenen van een legendarische schatjager met Clank! Legacy: Acquisitions Incorporated. Bestel vandaag nog en bereid je voor op een episch avontuur!</p>",Intrafin,,Gezelschapsspel,"Avontuur, Bordspel, Deckbuilding, demo, Dire Wolf Digital, Dungeons & Dragons, Fantasy, legacy, Overleven",,Title,Default Title,,,,,,,,,0,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/1491190-thickbox_default_1.jpg?v=1695376979,1,,,,,,,,,,,,,,,,,"2 spelers
3 spelers
4 spelers",2 tot 4 spelers,,Overleven,,,13+,Gemiddeld,,Bordspel,±120 minuten,"Deckbuilding
Legacy",Engels,"Dungeons & Dragons
Avontuur
Fantasy",,Dire Wolf Digital,"'- Superleuk voor fans van Clank! Een Legacy variant!
- Mooie mini's
- Veel variatie door verschillende side quests",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
clank-catacombs,Clank! Catacombs,"<span data-mce-fragment=""1"">The catacombs of the skeletal dragon Umbrok Vessna are mysterious and dangerous. Portals transport you all around the dungeon depths. Wayshrines offer vast riches to intrepid explorers. Prisoners are counting on you to free them. Ghosts, once disturbed, may haunt you to death. Despite all that, it's time to leave the board behind with Clank! Catacombs, a standalone deck-building adventure.</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Each trip into the catacombs is unique since you lay tiles to create the dungeon. You can play using only the all-new dungeon deck, or you can include cards from previous Clank! expansions.</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Find your fortune (and escape the dragon!) in Clank! Catacombs.</span>",Asmodee,,Gezelschapsspel,"2 personen, 3 personen, 4 personen, Bordspel, Deckbuilding, demo, Engels, Fantasy, Gemiddeld, Kaarten, Kaartspel, Leeftijd 13+, Overleven, Player elimination, Push Your Luck, Sciencefiction, Spelbord, Verzamelen, ± 60 minuten",,Title,Default Title,,,,,,,,,1000,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/dwd02006_1_1.png?v=1690477444,1,,,,,,,,,,,,,,,,,"2 spelers
3 spelers
4 spelers",2 tot 4 spelers,,"Overleven
Verzamelen",,,13+,Gemiddeld,,Bordspel,±60 minuten,"Deckbuilding
Player elimination
Push your luck",Engels,"Fantasy
Sciencefiction",,Dire Wolf Digital,"'- Standalone variant van Clank
- Toegankelijk om het deckbuilding mechanisme te leren kennen
- Maak je eigen bord!",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
clank-in-space,Clank! In Space!,"<p><span data-mce-fragment=""1"">The evil Lord Eradikus has all but conquered the galaxy and is now on a victory lap across the sector in his flagship, Eradikus Prime. He may rule with an iron grip, but his most prized artifacts are about to slip through his cyborg claws. You and your fellow thieves have challenged each other to sneak aboard his ship, hack your way into its command module, and steal from him.</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Along the way, you'll recruit allies and snatch up extra loot. But one false step and — Clank! Careless noise draws the attention of Lord Eradikus. Hacking into his command module and stealing his artifacts increases his rage. You'd better hope your friends are louder than you are if you want to make it to an escape pod and get out alive...</span><span data-mce-fragment=""1""></span></p>
<p><span data-mce-fragment=""1"">Clank! In! Space! is built on the same game system as Clank!: A Deck-Building Adventure, with players building a personal deck of cards throughout the course of the game, with the cards allowing them to move through the spaceship, attack things, acquire new cards, and — oh yeah — make noise to attract Lord Eradikus and potentially seal their own doom.<br></span></p>",Asmodee,,Gezelschapsspel,"2 personen, 3 personen, 4 personen, Bordspel, Deckbuilding, demo, Engels, Fantasy, Gemiddeld, Kaarten, Kaartspel, Leeftijd 13+, Overleven, Player elimination, Push Your Luck, Sciencefiction, Spelbord, Verzamelen, ± 60 minuten",,Title,Default Title,,,,,,,,,1000,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/dwd03000_1_1.png?v=1688030987,1,,,,,,,,,,,,,,,,,"2 spelers
3 spelers
4 spelers",2 tot 4 spelers,,"Overleven
Verzamelen",,,13+,Gemiddeld,,Bordspel,±60 minuten,"Deckbuilding
Player elimination
Push your luck",Engels,"Fantasy
Sciencefiction",,Dire Wolf Digital,"'- Deckbuilding met een ruimte thema
- Toegankelijk om het deckbuilding mechanisme te leren kennen",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
clank-legacy-acquisitions-2-darkest-magic-bordspel-eng,Clank! Legacy Acquisitions 2 Darkest Magic - Bordspel (Eng),"<p><span style=""color: rgb(255, 42, 0);""><strong>PRE-ORDER </strong></span></p>
<p><span>Sure, ok you ""saved the world."" But what have you done for the company lately? Return to the corporate adventuring world of Acquisitions Incorporated in Darkest Magic, an all-new Clank! Legacy! Permanently customize your game to tell your group's story with stickers, scratch-off cards, unique character jouranls, and more! </span></p>
<p><span>Hailed as one of the best legacy games of all time, the orignal Clank! Legacy took players on a whirlwind adventure that combined deck-buildling strategy, the beloved push-your-luck bag draw of Clank!, and an unforgettable over-the-top story. Recapture the magic with Clank! Legacy 2: Acquistiions Incorporated - Darkest Magic for the biggest, best, clankiest Clank! yet!</span></p>",Intrafin,Toys & Games > Games > Board Games,Gezelschapsspel,,,Title,Default Title,,,,,,,,,0,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/clank-legacy-acquisitions-2-darkest-magic-boardgame.jpg?v=1727881782,1,,,,,,,,,,,,,,,,,,,,,,,,,,Bordspel,,,Engels,,,,,,,,,,uitbreiding-beschikbaar,strategie; rollenspel,,veelkleurig-11,,,,,,strategisch-denken; onderhandeling,,,12-jaar-of-ouder,,,,,,,,kg,,,,,,,,,,,,
